dataset,explainer,model,rho,perc_d_1,count,success_count,success_rate,sparsity,proximity,correlation_preservation,gen_time,inf_time,shape_deviation,time_candidate_selection,time_priority,time_full,time_fallback,num_model_calls,num_shape_tests,shape_preserved_count,shape_preserved_rate,phase_priority_count,phase_priority_rate,phase_full_count,phase_full_rate,phase_fallback_count,phase_fallback_rate,phase_none_count,phase_none_rate
HNEI,CESA,HNEI_HNEI_CoxPH,0.3333333333333333,0.05,639,577,0.9029733959311425,0.7863332508046545,5094.151432214674,2.308689022293684,0.1097025331666366,0.0021382126363197,0.3280739179628667,0.0730934690070882,0.0098987856569725,0.0004010862079481,0.0,25.454072790294628,0.0,569.0,0.9861351819757366,567,0.9826689774696707,0,0.0,10,0.0173310225303292,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,0.3333333333333333,0.1,639,544,0.8513302034428795,0.7854516806722689,5407.863250439526,2.417761692159287,0.1104354101489929,0.0021799590459148,0.3020558797821515,0.0734077788715962,0.0112940897683449,0.0001368671820166,0.0,25.954044117647054,0.0,535.0,0.9834558823529412,536,0.9852941176470588,0,0.0,8,0.0147058823529411,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,0.3333333333333333,0.25,639,474,0.7417840375586855,0.689873417721519,6269.66106209131,2.652991258918388,0.1105908055657512,0.0021775555777273,0.2468002053563594,0.0698196042697721,0.0167454128437108,0.0015093179472809,0.0,29.30168776371308,0.0,467.0,0.9852320675105484,439,0.9261603375527426,0,0.0,35,0.0738396624472573,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,0.3333333333333333,0.5,639,304,0.4757433489827856,0.6278195488721805,10902.843399972107,3.096210371220333,0.1106209987764439,0.0021568569142178,0.3284823779500703,0.0673798483589723,0.0201977032800067,0.0023680449870593,0.0,31.463815789473685,0.0,298.0,0.9802631578947368,280,0.9210526315789472,0,0.0,24,0.0789473684210526,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,0.6666666666666666,0.05,639,354,0.5539906103286385,0.7441485068603713,8484.373972258465,2.2722347841446333,0.1088763971525355,0.002179285050646,0.3248293498688272,0.0715937593899697,0.013049621887092,0.0002762153643574,0.0,26.793785310734464,0.0,348.0,0.9830508474576272,351,0.9915254237288136,0,0.0,3,0.0084745762711864,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,0.6666666666666666,0.1,639,348,0.5446009389671361,0.7261904761904762,9435.799932669635,2.377830454743435,0.1056914518706633,0.0021862542617081,0.3968434940602298,0.0694165920835201,0.0140518611402387,0.000265722962666,0.0,27.344827586206897,0.0,341.0,0.9798850574712644,344,0.9885057471264368,0,0.0,4,0.0114942528735632,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,0.6666666666666666,0.25,639,310,0.4851330203442879,0.6147465437788018,11275.490303226705,2.773805350155916,0.1055203931421631,0.002176055903246,0.3918942018394463,0.0656052006905684,0.0193311883931352,0.0019214603805824,0.0,30.76451612903226,0.0,304.0,0.9806451612903224,287,0.9258064516129032,0,0.0,23,0.0741935483870967,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,0.6666666666666666,0.5,639,200,0.3129890453834116,0.5021428571428571,19775.967461234904,3.214064757868126,0.1032083439396228,0.0021748600996215,0.6369345818658333,0.0623288100695936,0.0231491306248062,0.0022038930450071,0.0,32.75,0.0,194.0,0.97,183,0.915,0,0.0,17,0.085,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,change_point,0.05,639,625,0.9780907668231612,0.8116571428571427,4693.493419299817,2.239131569641565,0.1227950774063822,0.0021779879633802,0.5003508925376322,0.0773154077892424,0.0148344973299186,2.0745966397225856e-05,0.0,27.7184,0.0,600.0,0.96,623,0.9968,0,0.0,2,0.0032,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,change_point,0.1,639,611,0.9561815336463224,0.7865326163198504,4871.578028266948,2.4541307699870365,0.1227752575009907,0.0021765394488651,0.5036054083023266,0.0752106640134614,0.0186039615155646,0.0001874580376454,0.0,29.62193126022913,0.0,586.0,0.9590834697217676,606,0.9918166939443536,0,0.0,5,0.0081833060556464,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,change_point,0.25,639,519,0.812206572769953,0.6751995595926231,6634.040669210705,3.053414156451584,0.1229769683371848,0.0021735459225394,0.5436186683362176,0.0709520641792898,0.0248219707414601,0.0016496902390197,0.0,33.58188824662813,0.0,494.0,0.9518304431599228,471,0.907514450867052,0,0.0,48,0.0924855491329479,0,0.0
HNEI,CESA,HNEI_HNEI_CoxPH,change_point,0.5,639,305,0.4773082942097026,0.5854800936768151,9854.245862267306,3.472279719523975,0.1301267528528591,0.0021777693540541,0.6971915263601136,0.0696389790564264,0.0332618144692444,0.0016135583672725,0.0,37.97049180327869,0.0,282.0,0.9245901639344264,279,0.9147540983606556,0,0.0,26,0.0852459016393442,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,0.3333333333333333,0.05,134,134,1.0,0.8571428571428571,15452.791407289946,1.927113719304908,0.1809728262538121,0.0033688569698159,0.0036388944044381,0.1261880320677996,0.0100298244992632,0.0,0.0,23.58208955223881,0.0,134.0,1.0,134,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,0.3333333333333333,0.1,134,134,1.0,0.8571428571428571,15462.99985624352,1.928979211619693,0.2270072293658949,0.0034614603209774,0.0036385790617437,0.1646393953286956,0.0113335662614163,0.0,0.0,23.56716417910448,0.0,134.0,1.0,134,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,0.3333333333333333,0.25,134,134,1.0,0.8571428571428571,15460.815668239997,1.9188481822208208,0.2142896125002533,0.0039885210225388,0.0036370349010382,0.1531103079030446,0.0119787628281124,0.0,0.0,23.64179104477612,0.0,134.0,1.0,134,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,0.3333333333333333,0.5,134,134,1.0,0.8571428571428571,16205.338200876637,1.9661139885227108,0.238772418291665,0.0040150226795144,0.0036384435755828,0.1748701975968233,0.012471835552163,0.0,0.0,23.65671641791045,0.0,134.0,1.0,134,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,0.6666666666666666,0.05,288,283,0.9826388888888888,0.7607269056032308,20517.30456086153,2.534027071906241,0.2000292905473871,0.0043605563778231,0.0038744803758265,0.1432942633780666,0.0233285807203929,5.2628271502209e-07,0.0,26.63957597173145,0.0,283.0,1.0,281,0.9929328621908128,0,0.0,2,0.0070671378091872,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,0.6666666666666666,0.1,288,283,0.9826388888888888,0.7511357900050479,23373.210083547256,2.587000917076441,0.1952554619188836,0.0046800543536027,0.00386992122603,0.1389404676293924,0.0242239109930222,3.8881063559619125e-05,0.0,26.80565371024735,0.0,283.0,1.0,280,0.9893992932862192,0,0.0,3,0.0106007067137809,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,0.6666666666666666,0.25,288,283,0.9826388888888888,0.7324583543664815,25742.08003889993,2.6704697246083686,0.2014221055408986,0.0046857379573519,0.0036894118535539,0.1427200737845542,0.0253259720817696,1.5241272053138316e-05,0.0,26.8904593639576,0.0,283.0,1.0,280,0.9893992932862192,0,0.0,3,0.0106007067137809,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,0.6666666666666666,0.5,288,282,0.9791666666666666,0.7213779128672746,26202.32314095341,2.70232284823241,0.1925397320569089,0.0046333778111457,0.0036993078558749,0.1377667753724175,0.0240472290572129,5.077553338351402e-07,0.0,26.875886524822697,0.0,282.0,1.0,279,0.9893617021276596,0,0.0,3,0.0106382978723404,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,change_point,0.05,205,192,0.9365853658536586,0.796875,20418.841460846998,2.03078790364964,0.1963198159586833,0.0043843692246052,0.0074821811603002,0.1499870196657866,0.0126594040155699,8.394114653735111e-07,0.0,24.338541666666668,0.0,192.0,1.0,189,0.984375,0,0.0,3,0.015625,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,change_point,0.1,205,191,0.9317073170731708,0.7973074046372476,21184.52473963104,2.0485919064345155,0.1996868700567689,0.0042295003870894,0.0075222516878638,0.1530181041102568,0.0132904640362044,8.492407825390238e-07,0.0,24.38219895287958,0.0,191.0,1.0,188,0.9842931937172776,0,0.0,3,0.0157068062827225,0,0.0
HNEI,CESA,HNEI_HNEI_DeepHIT,change_point,0.25,205,191,0.9317073170731708,0.7943156320119671,21395.558077475085,2.069927319135947,0.1975877879164456,0.004079406036089,0.0075222524192387,0.1510801493245541,0.0130064841260047,1.7958167508849144e-05,0.0,24.42408376963351,0.0,191.0,1.0,187,0.9790575916230366,0,0.0,4,0.0209424083769633,0,0.0
